run,getThreshold,tick
1,5,1
1,5.30859375,2
1,5.6640625,3
1,5.966796875,4
1,6.314453125,5
1,6.780273437,6
1,6.836914062,7
1,6.995117187,8
1,7.17578125,9
1,7.311523438,10
1,7.431640625,11
1,7.599609375,12
1,7.71484375,13
1,7.842773438,14
1,7.990234375,15
1,8.163085938,16
1,8.2265625,17
1,8.336914063,18
1,8.432617187,19
1,8.55078125,20
1,8.622070313,21
1,8.75390625,22
1,8.849609375,23
1,8.961914062,24
1,8.973632813,25
1,9.012695313,26
1,9.046875,27
1,9.034179688,28
1,9.038085938,29
1,9.079101563,30
1,9.108398438,31
1,9.155273438,32
1,9.186523437,33
1,9.198242188,34
1,9.189453125,35
1,9.208984375,36
1,9.223632812,37
1,9.23828125,38
1,9.225585937,39
1,9.241210938,40
1,9.234375,41
1,9.271484375,42
1,9.249023437,43
1,9.270507813,44
1,9.280273438,45
1,9.290039062,46
1,9.224609375,47
1,9.263671875,48
1,9.258789062,49
1,9.262695312,50
1,9.240234375,51
1,9.228515625,52
1,9.266601563,53
1,9.268554688,54
1,9.278320313,55
1,9.275390625,56
1,9.329101563,57
1,9.28125,58
1,9.264648437,59
1,9.263671875,60
1,9.266601563,61
1,9.247070312,62
1,9.241210937,63
1,9.234375,64
1,9.258789062,65
1,9.307617188,66
1,9.329101563,67
1,9.309570312,68
1,9.299804687,69
1,9.267578125,70
1,9.220703125,71
1,9.21484375,72
1,9.228515625,73
1,9.2265625,74
1,9.20703125,75
1,9.225585937,76
1,9.225585937,77
1,9.245117187,78
1,9.258789062,79
1,9.28125,80
1,9.271484375,81
1,9.2265625,82
1,9.239257813,83
1,9.267578125,84
1,9.2421875,85
1,9.263671875,86
1,9.263671875,87
1,9.276367188,88
1,9.276367188,89
1,9.311523438,90
1,9.280273437,91
1,9.26171875,92
1,9.291992188,93
1,9.284179688,94
1,9.272460937,95
1,9.323242188,96
1,9.307617188,97
1,9.278320313,98
1,9.23828125,99
1,9.23046875,100
1,9.231445312,101
1,9.265625,102
1,9.26953125,103
1,9.272460938,104
1,9.280273438,105
1,9.266601563,106
1,9.251953125,107
1,9.2734375,108
1,9.244140625,109
1,9.262695312,110
1,9.25390625,111
1,9.302734375,112
1,9.291015625,113
1,9.274414062,114
1,9.236328125,115
1,9.212890625,116
1,9.212890625,117
1,9.2265625,118
1,9.240234375,119
1,9.24609375,120
1,9.223632813,121
1,9.204101563,122
1,9.172851563,123
1,9.213867187,124
1,9.208984375,125
1,9.233398438,126
1,9.239257812,127
1,9.247070313,128
1,9.221679688,129
1,9.217773438,130
1,9.20703125,131
1,9.209960937,132
1,9.217773437,133
1,9.202148438,134
1,9.205078125,135
1,9.170898437,136
1,9.166015625,137
1,9.125,138
1,9.139648437,139
1,9.189453125,140
1,9.23046875,141
1,9.276367188,142
1,9.2890625,143
1,9.298828125,144
1,9.26953125,145
1,9.291015625,146
1,9.255859375,147
1,9.270507813,148
1,9.268554687,149
1,9.270507813,150
1,9.248046875,151
1,9.23046875,152
1,9.223632812,153
1,9.22265625,154
1,9.212890625,155
1,9.245117188,156
1,9.192382813,157
1,9.2265625,158
1,9.227539063,159
1,9.221679688,160
1,9.224609375,161
1,9.247070313,162
1,9.2109375,163
1,9.235351563,164
1,9.21875,165
1,9.224609375,166
1,9.2109375,167
1,9.206054687,168
1,9.251953125,169
1,9.25390625,170
1,9.232421875,171
1,9.243164062,172
1,9.291992188,173
1,9.24609375,174
1,9.276367187,175
1,9.270507813,176
1,9.229492188,177
1,9.196289063,178
1,9.23828125,179
1,9.245117187,180
1,9.233398438,181
1,9.26953125,182
1,9.264648437,183
1,9.302734375,184
1,9.279296875,185
1,9.276367187,186
1,9.266601563,187
1,9.296875,188
1,9.259765625,189
1,9.30078125,190
1,9.290039062,191
1,9.279296875,192
1,9.27734375,193
1,9.27734375,194
1,9.247070313,195
1,9.276367188,196
1,9.26171875,197
1,9.284179688,198
1,9.276367187,199
1,9.293945312,200
1,9.287109375,201
1,9.278320313,202
1,9.26171875,203
1,9.287109375,204
1,9.306640625,205
1,9.291992188,206
1,9.323242187,207
1,9.302734375,208
1,9.27734375,209
1,9.26953125,210
1,9.264648438,211
1,9.245117188,212
1,9.248046875,213
1,9.234375,214
1,9.221679688,215
1,9.235351563,216
1,9.232421875,217
1,9.25,218
1,9.236328125,219
1,9.243164062,220
1,9.19140625,221
1,9.196289063,222
1,9.206054687,223
1,9.225585937,224
1,9.256835938,225
1,9.2890625,226
1,9.305664063,227
1,9.272460938,228
1,9.259765625,229
1,9.219726562,230
1,9.23046875,231
1,9.26171875,232
1,9.266601562,233
1,9.227539063,234
1,9.280273437,235
1,9.25390625,236
1,9.249023438,237
1,9.265625,238
1,9.271484375,239
1,9.227539062,240
1,9.240234375,241
1,9.239257812,242
1,9.196289063,243
1,9.227539063,244
1,9.26953125,245
1,9.234375,246
1,9.228515625,247
1,9.276367187,248
1,9.2734375,249
1,9.223632813,250
1,9.25390625,251
1,9.211914063,252
1,9.202148437,253
1,9.198242188,254
1,9.217773438,255
1,9.2265625,256
1,9.275390625,257
1,9.272460938,258
1,9.27734375,259
1,9.290039062,260
1,9.29296875,261
1,9.260742188,262
1,9.231445313,263
1,9.288085938,264
1,9.263671875,265
1,9.302734375,266
1,9.28125,267
1,9.306640625,268
1,9.271484375,269
1,9.286132813,270
1,9.296875,271
1,9.270507812,272
1,9.240234375,273
1,9.197265625,274
1,9.258789062,275
1,9.237304687,276
1,9.2265625,277
1,9.237304687,278
1,9.252929688,279
1,9.2734375,280
1,9.295898438,281
1,9.265625,282
1,9.22265625,283
1,9.258789063,284
1,9.212890625,285
1,9.198242187,286
1,9.211914062,287
1,9.288085938,288
1,9.306640625,289
1,9.298828125,290
1,9.299804688,291
1,9.252929688,292
1,9.2265625,293
1,9.241210938,294
1,9.237304687,295
1,9.224609375,296
1,9.244140625,297
1,9.240234375,298
1,9.252929687,299
1,9.220703125,300
1,9.236328125,301
1,9.23828125,302
1,9.23828125,303
1,9.249023438,304
1,9.264648438,305
1,9.275390625,306
1,9.276367187,307
1,9.328125,308
1,9.296875,309
1,9.284179688,310
1,9.284179687,311
1,9.262695312,312
1,9.234375,313
1,9.2265625,314
1,9.196289062,315
1,9.21875,316
1,9.259765625,317
1,9.278320313,318
1,9.265625,319
1,9.25390625,320
1,9.227539062,321
1,9.18359375,322
1,9.163085938,323
1,9.217773437,324
1,9.237304687,325
1,9.250976563,326
1,9.2890625,327
1,9.26171875,328
1,9.189453125,329
1,9.216796875,330
1,9.217773437,331
1,9.215820313,332
1,9.26953125,333
1,9.293945313,334
1,9.2890625,335
1,9.28515625,336
1,9.265625,337
1,9.272460937,338
1,9.247070313,339
1,9.215820313,340
1,9.201171875,341
1,9.19921875,342
1,9.19921875,343
1,9.213867187,344
1,9.28125,345
1,9.254882813,346
1,9.24609375,347
1,9.232421875,348
1,9.250976562,349
1,9.204101563,350
1,9.225585937,351
1,9.1953125,352
1,9.217773438,353
1,9.217773437,354
1,9.250976562,355
1,9.2109375,356
1,9.232421875,357
1,9.208984375,358
1,9.208007812,359
1,9.186523438,360
1,9.245117188,361
1,9.229492187,362
1,9.270507812,363
1,9.309570312,364
1,9.293945313,365
1,9.290039062,366
1,9.278320313,367
1,9.27734375,368
1,9.250976562,369
1,9.286132813,370
1,9.275390625,371
1,9.25390625,372
1,9.270507813,373
1,9.25390625,374
1,9.249023438,375
1,9.221679688,376
1,9.221679687,377
1,9.264648437,378
1,9.2734375,379
1,9.275390625,380
1,9.288085938,381
1,9.286132812,382
1,9.294921875,383
1,9.245117188,384
1,9.256835937,385
1,9.263671875,386
1,9.271484375,387
1,9.282226563,388
1,9.249023438,389
1,9.243164062,390
1,9.2578125,391
1,9.278320312,392
1,9.227539062,393
1,9.25390625,394
1,9.243164062,395
1,9.186523437,396
1,9.166015625,397
1,9.16796875,398
1,9.174804687,399
1,9.200195312,400
1,9.227539063,401
1,9.209960938,402
1,9.217773437,403
1,9.25,404
1,9.278320312,405
1,9.259765625,406
1,9.286132812,407
1,9.254882812,408
1,9.240234375,409
1,9.21484375,410
1,9.223632812,411
1,9.1953125,412
1,9.259765625,413
1,9.217773437,414
1,9.22265625,415
1,9.248046875,416
1,9.255859375,417
1,9.225585938,418
1,9.221679688,419
1,9.258789063,420
1,9.219726563,421
1,9.231445312,422
1,9.267578125,423
1,9.250976562,424
1,9.258789062,425
1,9.276367188,426
1,9.305664062,427
1,9.290039062,428
1,9.268554688,429
1,9.258789063,430
1,9.256835937,431
1,9.272460938,432
1,9.262695312,433
1,9.225585937,434
1,9.21875,435
1,9.229492188,436
1,9.234375,437
1,9.274414062,438
1,9.2734375,439
1,9.258789062,440
1,9.262695313,441
1,9.216796875,442
1,9.203125,443
1,9.21484375,444
1,9.235351563,445
1,9.252929687,446
1,9.245117187,447
1,9.26953125,448
1,9.247070313,449
1,9.241210937,450
1,9.200195312,451
1,9.197265625,452
1,9.21484375,453
1,9.182617188,454
1,9.215820312,455
1,9.237304688,456
1,9.221679688,457
1,9.225585938,458
1,9.192382813,459
1,9.177734375,460
1,9.184570312,461
1,9.248046875,462
1,9.228515625,463
1,9.248046875,464
1,9.219726563,465
1,9.19921875,466
1,9.169921875,467
1,9.201171875,468
1,9.189453125,469
1,9.178710938,470
1,9.215820312,471
1,9.233398438,472
1,9.245117188,473
1,9.247070312,474
1,9.241210937,475
1,9.224609375,476
1,9.280273437,477
1,9.259765625,478
1,9.228515625,479
1,9.26171875,480
1,9.299804687,481
1,9.264648438,482
1,9.268554688,483
1,9.268554687,484
1,9.229492187,485
1,9.232421875,486
1,9.22265625,487
1,9.224609375,488
1,9.258789062,489
1,9.2578125,490
1,9.231445312,491
1,9.234375,492
1,9.260742188,493
1,9.236328125,494
1,9.21875,495
1,9.237304688,496
1,9.265625,497
1,9.25,498
1,9.216796875,499
1,9.233398438,500
10,5,1
10,6,2
10,7,3
10,7.33984375,4
10,7.69921875,5
10,8.060546875,6
10,8.079101562,7
10,8.198242187,8
10,8.165039063,9
10,8.155273438,10
10,8.120117187,11
10,8.078125,12
10,8.02734375,13
10,8.021484375,14
10,7.944335937,15
10,7.952148438,16
10,7.912109375,17
10,7.918945313,18
10,7.858398438,19
10,7.861328125,20
10,7.90234375,21
10,7.884765625,22
10,7.883789063,23
10,7.909179688,24
10,7.895507813,25
10,7.891601563,26
10,7.84765625,27
10,7.841796875,28
10,7.796875,29
10,7.754882812,30
10,7.758789063,31
10,7.729492187,32
10,7.743164063,33
10,7.775390625,34
10,7.760742188,35
10,7.759765625,36
10,7.751953125,37
10,7.750976562,38
10,7.729492188,39
10,7.735351563,40
10,7.724609375,41
10,7.705078125,42
10,7.6484375,43
10,7.649414063,44
10,7.65625,45
10,7.612304687,46
10,7.608398437,47
10,7.5703125,48
10,7.590820313,49
10,7.599609375,50
10,7.602539063,51
10,7.647460938,52
10,7.595703125,53
10,7.60546875,54
10,7.581054687,55
10,7.568359375,56
10,7.596679688,57
10,7.587890625,58
10,7.588867188,59
10,7.576171875,60
10,7.59375,61
10,7.59375,62
10,7.569335937,63
10,7.578125,64
10,7.606445313,65
10,7.563476562,66
10,7.563476562,67
10,7.55859375,68
10,7.575195312,69
10,7.60546875,70
10,7.579101563,71
10,7.640625,72
10,7.643554688,73
10,7.670898438,74
10,7.641601563,75
10,7.671875,76
10,7.677734375,77
10,7.661132813,78
10,7.684570312,79
10,7.681640625,80
10,7.717773438,81
10,7.71875,82
10,7.73046875,83
10,7.709960938,84
10,7.73828125,85
10,7.723632813,86
10,7.716796875,87
10,7.752929687,88
10,7.755859375,89
10,7.741210938,90
10,7.74609375,91
10,7.719726563,92
10,7.716796875,93
10,7.650390625,94
10,7.655273437,95
10,7.647460938,96
10,7.6796875,97
10,7.66796875,98
10,7.666992187,99
10,7.663085938,100
10,7.655273437,101
10,7.645507812,102
10,7.634765625,103
10,7.653320313,104
10,7.711914062,105
10,7.698242188,106
10,7.67578125,107
10,7.671875,108
10,7.696289062,109
10,7.666992187,110
10,7.609375,111
10,7.614257813,112
10,7.620117187,113
10,7.612304688,114
10,7.565429688,115
10,7.568359375,116
10,7.569335937,117
10,7.587890625,118
10,7.571289062,119
10,7.5625,120
10,7.541992187,121
10,7.578125,122
10,7.57421875,123
10,7.606445313,124
10,7.59375,125
10,7.611328125,126
10,7.57421875,127
10,7.603515625,128
10,7.646484375,129
10,7.616210937,130
10,7.608398438,131
10,7.627929687,132
10,7.627929688,133
10,7.631835938,134
10,7.631835937,135
10,7.620117188,136
10,7.625976563,137
10,7.635742188,138
10,7.6484375,139
10,7.674804688,140
10,7.671875,141
10,7.684570313,142
10,7.6953125,143
10,7.70703125,144
10,7.69921875,145
10,7.638671875,146
10,7.635742188,147
10,7.6484375,148
10,7.651367187,149
10,7.658203125,150
10,7.678710937,151
10,7.67578125,152
10,7.681640625,153
10,7.715820313,154
10,7.698242188,155
10,7.693359375,156
10,7.651367188,157
10,7.64453125,158
10,7.655273437,159
10,7.66015625,160
10,7.659179688,161
10,7.653320313,162
10,7.65625,163
10,7.640625,164
10,7.61328125,165
10,7.544921875,166
10,7.55859375,167
10,7.560546875,168
10,7.569335938,169
10,7.54296875,170
10,7.569335938,171
10,7.55859375,172
10,7.55078125,173
10,7.59375,174
10,7.537109375,175
10,7.540039062,176
10,7.501953125,177
10,7.493164062,178
10,7.49609375,179
10,7.484375,180
10,7.514648437,181
10,7.515625,182
10,7.477539062,183
10,7.489257813,184
10,7.489257812,185
10,7.483398438,186
10,7.540039063,187
10,7.53125,188
10,7.50390625,189
10,7.518554688,190
10,7.513671875,191
10,7.52734375,192
10,7.493164062,193
10,7.49609375,194
10,7.455078125,195
10,7.489257812,196
10,7.48828125,197
10,7.461914062,198
10,7.46484375,199
10,7.45703125,200
10,7.467773438,201
10,7.516601562,202
10,7.534179687,203
10,7.546875,204
10,7.556640625,205
10,7.51171875,206
10,7.543945312,207
10,7.5390625,208
10,7.555664063,209
10,7.556640625,210
10,7.57421875,211
10,7.548828125,212
10,7.546875,213
10,7.579101562,214
10,7.622070313,215
10,7.609375,216
10,7.5859375,217
10,7.580078125,218
10,7.564453125,219
10,7.55078125,220
10,7.557617188,221
10,7.549804687,222
10,7.58203125,223
10,7.515625,224
10,7.524414063,225
10,7.559570313,226
10,7.568359375,227
10,7.583007813,228
10,7.591796875,229
10,7.59765625,230
10,7.572265625,231
10,7.560546875,232
10,7.557617188,233
10,7.576171875,234
10,7.607421875,235
10,7.590820313,236
10,7.583984375,237
10,7.591796875,238
10,7.627929687,239
10,7.627929688,240
10,7.604492188,241
10,7.645507812,242
10,7.685546875,243
10,7.690429687,244
10,7.67578125,245
10,7.6328125,246
10,7.653320312,247
10,7.650390625,248
10,7.622070312,249
10,7.665039062,250
10,7.6484375,251
10,7.676757813,252
10,7.686523437,253
10,7.669921875,254
10,7.649414063,255
10,7.680664062,256
10,7.697265625,257
10,7.704101563,258
10,7.686523437,259
10,7.737304688,260
10,7.701171875,261
10,7.672851562,262
10,7.689453125,263
10,7.706054688,264
10,7.69140625,265
10,7.666015625,266
10,7.642578125,267
10,7.614257812,268
10,7.572265625,269
10,7.532226562,270
10,7.547851562,271
10,7.561523437,272
10,7.561523437,273
10,7.580078125,274
10,7.590820312,275
10,7.587890625,276
10,7.58203125,277
10,7.592773438,278
10,7.590820313,279
10,7.6015625,280
10,7.606445312,281
10,7.58984375,282
10,7.58203125,283
10,7.569335937,284
10,7.583007812,285
10,7.586914062,286
10,7.626953125,287
10,7.587890625,288
10,7.5859375,289
10,7.5859375,290
10,7.54296875,291
10,7.514648437,292
10,7.5546875,293
10,7.572265625,294
10,7.596679687,295
10,7.577148437,296
10,7.568359375,297
10,7.569335937,298
10,7.592773437,299
10,7.612304687,300
10,7.602539062,301
10,7.5546875,302
10,7.546875,303
10,7.56640625,304
10,7.620117188,305
10,7.592773438,306
10,7.596679687,307
10,7.62109375,308
10,7.580078125,309
10,7.541992188,310
10,7.517578125,311
10,7.534179687,312
10,7.534179687,313
10,7.5,314
10,7.50390625,315
10,7.494140625,316
10,7.487304687,317
10,7.529296875,318
10,7.497070313,319
10,7.530273437,320
10,7.530273438,321
10,7.529296875,322
10,7.506835938,323
10,7.52734375,324
10,7.553710938,325
10,7.55078125,326
10,7.517578125,327
10,7.51171875,328
10,7.520507813,329
10,7.546875,330
10,7.538085937,331
10,7.512695312,332
10,7.509765625,333
10,7.469726563,334
10,7.490234375,335
10,7.498046875,336
10,7.54296875,337
10,7.526367187,338
10,7.536132813,339
10,7.546875,340
10,7.55078125,341
10,7.538085937,342
10,7.532226562,343
10,7.544921875,344
10,7.509765625,345
10,7.512695312,346
10,7.509765625,347
10,7.518554688,348
10,7.55859375,349
10,7.521484375,350
10,7.512695312,351
10,7.521484375,352
10,7.5859375,353
10,7.584960937,354
10,7.599609375,355
10,7.563476563,356
10,7.603515625,357
10,7.584960937,358
10,7.596679687,359
10,7.646484375,360
10,7.626953125,361
10,7.615234375,362
10,7.635742187,363
10,7.611328125,364
10,7.640625,365
10,7.604492188,366
10,7.60546875,367
10,7.599609375,368
10,7.604492187,369
10,7.638671875,370
10,7.62109375,371
10,7.611328125,372
10,7.596679687,373
10,7.567382812,374
10,7.555664063,375
10,7.541015625,376
10,7.515625,377
10,7.540039062,378
10,7.536132812,379
10,7.546875,380
10,7.5,381
10,7.541992188,382
10,7.514648437,383
10,7.5625,384
10,7.592773437,385
10,7.592773437,386
10,7.603515625,387
10,7.609375,388
10,7.62109375,389
10,7.625,390
10,7.620117187,391
10,7.63671875,392
10,7.66015625,393
10,7.641601563,394
10,7.609375,395
10,7.584960937,396
10,7.578125,397
10,7.579101562,398
10,7.58203125,399
10,7.59765625,400
10,7.547851563,401
10,7.580078125,402
10,7.537109375,403
10,7.552734375,404
10,7.494140625,405
10,7.4921875,406
10,7.524414062,407
10,7.553710937,408
10,7.588867188,409
10,7.549804687,410
10,7.55859375,411
10,7.576171875,412
10,7.56640625,413
10,7.537109375,414
10,7.5234375,415
10,7.549804688,416
10,7.565429688,417
10,7.552734375,418
10,7.588867188,419
10,7.547851562,420
10,7.538085937,421
10,7.5546875,422
10,7.553710937,423
10,7.560546875,424
10,7.58984375,425
10,7.579101562,426
10,7.594726563,427
10,7.581054687,428
10,7.58984375,429
10,7.608398437,430
10,7.61328125,431
10,7.609375,432
10,7.6015625,433
10,7.609375,434
10,7.633789062,435
10,7.634765625,436
10,7.625976562,437
10,7.618164063,438
10,7.592773437,439
10,7.618164063,440
10,7.6015625,441
10,7.615234375,442
10,7.62109375,443
10,7.642578125,444
10,7.6484375,445
10,7.629882813,446
10,7.616210938,447
10,7.596679688,448
10,7.586914063,449
10,7.557617187,450
10,7.580078125,451
10,7.548828125,452
10,7.588867188,453
10,7.595703125,454
10,7.603515625,455
10,7.61328125,456
10,7.655273438,457
10,7.640625,458
10,7.629882812,459
10,7.64453125,460
10,7.642578125,461
10,7.572265625,462
10,7.587890625,463
10,7.55859375,464
10,7.536132812,465
10,7.53515625,466
10,7.573242187,467
10,7.575195312,468
10,7.571289063,469
10,7.56640625,470
10,7.600585937,471
10,7.60546875,472
10,7.600585937,473
10,7.560546875,474
10,7.596679688,475
10,7.623046875,476
10,7.6484375,477
10,7.62890625,478
10,7.62890625,479
10,7.630859375,480
10,7.578125,481
10,7.60546875,482
10,7.609375,483
10,7.5625,484
10,7.53125,485
10,7.536132812,486
10,7.576171875,487
10,7.586914062,488
10,7.595703125,489
10,7.584960938,490
10,7.561523437,491
10,7.568359375,492
10,7.576171875,493
10,7.606445313,494
